Id;Codigo;NRO.;PARROQUIA LA PASCUA ( BARRIOS);Valor unitario del terreno (Vut) (PETRO/METRO CUADRADO);Valor unitario de construcci¢n (Vuc)(PETRO/METRO CUADRADO);caracterizacion del Sector;;;;;;
1201086;Comercial;86;Palmar I;0.1;1.8;C;;;;;;
1201087;Comercial;87;Palmar II;0.1;1.8;C;;;;;;
1201088;Comercial;88;Palmar III;0.05;1.8;D;;;;;;
1201089;Comercial;89;Cerrito I;0.1;1.8;C;;;;;;
1201090;Comercial;90;Cerrito II;0.1;1.8;C;;;;;;
1201091;Comercial;91;Cerrito III;0.1;1.8;C;;;;;;
1201092;Comercial;92;Rodriguez Chacin;0.1;1.3;C;;;;;;
1201093;Comercial;93;El Remanso;0.1;1.8;C;;;;;;
1201094;Comercial;94;Las Carolinas;0.1;1.8;C;;;;;;
1201095;Comercial;95;Los Laureles;0.1;1.8;C;;;;;;
1201096;Comercial;96;Cristo Rey;0.1;1.8;C;;;;;;
1201097;Comercial;97;Vipedi;0.1;1.8;C;;;;;;
1201098;Comercial;98;Las Lomas;0.1;1.8;C;;;;;;
1201099;Comercial;99;Lomas Del Llanos II;0.1;1.8;C;;;;;;
1201100;Comercial;100;Guamachal;0.13;1.8;B;;;;;;
1201101;Comercial;101;La Arboleda;0.13;1.8;B;;;;;;
1201102;Comercial;102;Terraza De Corozal PU5;0.05;1.3;D;;;;;;
1201103;Comercial;103;Llano Alto PU5;0.13;1.3;B;;;;;;
1201104;Comercial;104;Fogoncito PU3;0.13;1.3;B;;;;;;
1201105;Comercial;105;La Bendicion PU1 ;0.05;1.3;D;;;;;;
1201106;Comercial;106;Tamanaco Contry PU1;0.1;1.3;C;;;;;;
1201107;Comercial;107;Villa Del Rosario PU1;0.05;1.3;D;;;;;;
1201108;Comercial;108;La Tres Gracias PU1;0.05;1.3;D;;;;;;
1201109;Comercial;109;Las Aves PU1;0.03;1.3;F;;;;;;
1201110;Comercial;110;La Solucion PU-4;0.03;1.3;F;;;;;;
1201111;Comercial;111;Terraza De El Lido PU6;0.05;1.3;D;;;;;;
1201112;Comercial;112;Villa shalom PU3;0.13;1.3;B;;;;;;
1201113;Comercial;113;Villas De Plata;0.16;1.8;A;;;;;;
1201114;Comercial;114;Los Chaguaramos;0.16;1.8;A;;;;;;
1201115;Comercial;115;El Amparo;0.16;1.8;A;;;;;;
1201116;Comercial;116;Las Villas;0.16;1.8;A;;;;;;
1201117;Comercial;117;Palma Real;0.13;1.8;B;;;;;;
1201118;Comercial;118;Lomas Del Llanos;0.16;1.8;A;;;;;;
1201119;Comercial;119;Lomas Del Llanos V;0.16;1.8;A;;;;;;
1201120;Comercial;120;conj. res.Guamachal mein;0.16;1.8;A;;;;;;
1201121;Comercial;121;conj. res.Guamachal 1;0.16;1.8;A;;;;;;
1201122;Comercial;122;conj. res.Guamachal II;0.16;1.8;A;;;;;;
1201123;Comercial;123;conj. Villas del Valle;0.16;1.8;A;;;;;;
1201124;Comercial;124;Villa Cerrito;0.16;1.8;A;;;;;;
1201125;Comercial;125;Valle Fresco;0.13;1.8;B;;;;;;
1201126;Comercial;126;Villa Sharon;0.16;1.8;A;;;;;;
1201127;Comercial;127;Villa Virgen del Valle;0.16;1.8;A;;;;;;
1201128;Comercial;128;villas la Pascua;0.16;1.8;A;;;;;;
1201129;Comercial;129;conj. res.Guamachal (arboleda);0.16;1.8;A;;;;;;
1201130;Comercial;130;conj. Res. Vipedi II;0.16;1.8;A;;;;;;
1201131;Comercial;131;conj. Res. Paez;0.16;1.8;A;;;;;;
1201132;Comercial;132;conj. Res. 5 de julio;0.16;1.8;A;;;;;;
1201133;Comercial;133;conj. Res. La Fuente;0.16;1.8;A;;;;;;
1201137;Comercial;137;Nuevos desarrollos residensial - comercial 1 (MAKRO);0.16;1.9;A;;;;;;
1201138;Comercial;138;Nuevos desarrollos residensial - comercial 2 (TRAKI);0.16;1.9;A;;;;;;
